data_id,Voltage (V),Current (A),Power (W),RPM,Lin Act Pos (Pitch),Wind Speed (m/s),Resistor (Ohm),Torque (uncertain) (oz-in),Torque (uncertain) (N-m),TSR,Wind Power (W),Cp,Calc Resistance
16,6.28,1.27,7.9756,973,1170,7,4.79,,0.078274756,3.202330112,31.39683319,0.254025619,4.94488189
17,6.49,1.24,8.0476,980,1170,7,5.03,,0.078417231,3.225368458,31.39683319,0.256318844,5.233870968
18,6.63,1.23,8.1549,988,1170,7,5.21,,0.078819358,3.251697996,31.39683319,0.259736387,5.390243902
19,7.1,1.18,8.378,1032,1170,7,5.83,,0.077523229,3.396510457,31.39683319,0.266842199,6.016949153
20,7.31,1.14,8.3334,1050,1170,7,6.21,,0.075788642,3.455751919,31.39683319,0.265421673,6.412280702
21,6.29,1.27,7.9883,965,1172,7,4.79,,0.07904934,3.176000573,31.39683319,0.254430119,4.952755906
22,6.53,1.25,8.1625,973,1172,7,5.03,,0.080109044,3.202330112,31.39683319,0.259978449,5.224
23,6.65,1.23,8.1795,988,1172,7,5.21,,0.079057123,3.251697996,31.39683319,0.260519905,5.406504065
24,7.03,1.17,8.2251,1020,1172,7,5.83,,0.077003809,3.35701615,31.39683319,0.261972281,6.008547009
25,7.31,1.14,8.3334,1055,1172,7,6.21,,0.075429454,3.47220788,31.39683319,0.265421673,6.412280702
26,6.26,1.26,7.8876,960,1174,7,4.79,,0.078459374,3.159544612,31.39683319,0.251222789,4.968253968
27,6.5,1.24,8.06,973,1174,7,5.03,,0.079103081,3.202330112,31.39683319,0.256713789,5.241935484
28,6.57,1.21,7.9497,988,1174,7,5.21,,0.076836043,3.251697996,31.39683319,0.253200696,5.429752066
29,7.05,1.17,8.2485,1025,1174,7,5.83,,0.076846185,3.373472111,31.39683319,0.262717579,6.025641026
30,7.28,1.14,8.2992,1055,1174,7,6.21,,0.075119894,3.47220788,31.39683319,0.264332391,6.385964912
31,7.29,1.14,8.3106,1055,1172,7,6.21,,0.075223081,3.47220788,31.39683319,0.264695485,6.394736842
32,7.45,1.11,8.2695,1065,1172,7,6.49,,0.074148239,3.505119804,31.39683319,0.263386436,6.711711712
33,7.83,1.07,8.3781,1100,1172,7,7.08,,0.072731752,3.620311534,31.39683319,0.266845384,7.317757009
34,7.33,1.46,10.7018,1080,1180,7.9,4.79,,0.094624647,3.149546053,45.13079662,0.237128542,5.020547945
35,7.53,1.44,10.8432,1110,1180,7.9,5.03,,0.093283683,3.237033443,45.13079662,0.240261658,5.229166667
36,7.65,1.41,10.7865,1115,1180,7.9,5.21,,0.09237977,3.251614675,45.13079662,0.239005309,5.425531915
37,8.14,1.35,10.989,1165,1180,7.9,5.83,,0.090074829,3.397426992,45.13079662,0.243492267,6.02962963
38,8.39,1.31,10.9909,1190,1180,7.9,6.21,,0.088197747,3.470333151,45.13079662,0.243534367,6.404580153
39,8.64,1.29,11.1456,1212,1180,7.9,6.49,,0.087815672,3.53449057,45.13079662,0.246962182,6.697674419
40,8.97,1.23,11.0331,1250,1180,7.9,7.08,,0.084286639,3.645307931,45.13079662,0.244469427,7.292682927
41,7.41,1.42,10.5222,1100,1185,7.9,5.03,,0.09134506,3.20787098,45.13079662,0.233148998,5.218309859
42,7.59,1.41,10.7019,1120,1185,7.9,5.21,,0.091246048,3.266195907,45.13079662,0.237130758,5.382978723
43,8.11,1.34,10.8674,1152,1185,7.9,5.83,,0.090083317,3.35951579,45.13079662,0.240797877,6.052238806
44,8.32,1.3,10.816,1190,1185,7.9,6.21,,0.086794242,3.470333151,45.13079662,0.239658965,6.4
45,8.46,1.26,10.6596,1205,1185,7.9,6.49,,0.084474389,3.514076846,45.13079662,0.236193482,6.714285714
46,8.88,1.22,10.8336,1240,1185,7.9,7.08,,0.083430012,3.616145468,45.13079662,0.240048942,7.278688525
47,7.47,1.38,10.3086,1100,1190,7.9,5.21,,0.089490761,3.20787098,45.13079662,0.228416088,5.413043478
48,7.91,1.32,10.4412,1140,1190,7.9,5.83,,0.087461467,3.324520833,45.13079662,0.231354215,5.992424242
49,8.21,1.28,10.5088,1170,1190,7.9,6.21,,0.085770603,3.412008224,45.13079662,0.232852083,6.4140625
50,8.35,1.24,10.354,1185,1190,7.9,6.49,,0.083437447,3.455751919,45.13079662,0.229422053,6.733870968
51,8.71,1.19,10.3649,1220,1190,7.9,7.08,,0.081129067,3.557820541,45.13079662,0.229663573,7.319327731
52,7.75,1.43,11.0825,1140,1170,7.9,5.21,,0.092833363,3.324520833,45.13079662,0.245564024,5.41958042
53,8.35,1.36,11.356,1190,1170,7.9,5.83,,0.091127534,3.470333151,45.13079662,0.251624187,6.139705882
54,8.49,1.32,11.2068,1215,1170,7.9,6.21,,0.088079845,3.543239309,45.13079662,0.24831824,6.431818182
55,8.68,1.3,11.284,1230,1170,7.9,6.49,,0.087605054,3.586983004,45.13079662,0.250028824,6.676923077
56,9.01,1.25,11.2625,1260,1170,7.9,7.08,,0.085356275,3.674470395,45.13079662,0.249552431,7.208
57,7.74,1.43,11.0682,1140,1175,7.9,5.21,,0.092713578,3.324520833,45.13079662,0.245247167,5.412587413
58,8.38,1.36,11.3968,1200,1175,7.9,5.83,,0.090692814,3.499495614,45.13079662,0.252528226,6.161764706
59,8.52,1.33,11.3316,1215,1175,7.9,6.21,,0.08906071,3.543239309,45.13079662,0.251083536,6.406015038
60,8.7,1.3,11.31,1230,1175,7.9,6.49,,0.087806909,3.586983004,45.13079662,0.250604927,6.692307692
61,9.1,1.25,11.375,1260,1175,7.9,7.08,,0.086208891,3.674470395,45.13079662,0.252045185,7.28
62,4.58,0.393,1.79994,690,1180,5,11.33,,0.024910367,3.179291765,11.4419946,0.157309985,11.65394402
63,6.57,0.197,1.29429,870,1180,5,33,,0.014206384,4.008672226,11.4419946,0.113117515,33.35025381
64,5.9,0.269,1.5871,810,1180,5,21,,0.018710719,3.732212072,11.4419946,0.138708333,21.9330855
65,6.04,0.275,1.661,830,1170,5,21,,0.01911009,3.824365457,11.4419946,0.145166997,21.96363636
66,6.05,0.275,1.66375,825,1175,5,21,,0.01925774,3.801327111,11.4419946,0.14540734,22
67,6.12,0.183,1.11996,830,1190,5,33,cut in,0.012885332,3.824365457,11.4419946,0.097881535,33.44262295
68,6.08,0.276,1.67808,840,1165,5,21,,0.019076758,3.870442149,11.4419946,0.146659744,22.02898551
69,5.23,0.862,4.50826,800,1160,6.1,5.83,,0.053813367,3.021422443,20.77692302,0.216984007,6.067285383
70,5.8,0.795,4.611,860,1160,6.1,7.08,,0.051199753,3.248029126,20.77692302,0.221928916,7.295597484
71,6.32,0.734,4.63888,910,1160,6.1,8.36,,0.048679145,3.436868029,20.77692302,0.223270789,8.610354223
72,6.85,0.674,4.6169,950,1160,6.1,9.9,,0.046408556,3.587939151,20.77692302,0.222212885,10.16320475
73,7.2,0.62,4.464,990,1160,6.1,11.3,,0.043058628,3.739010273,20.77692302,0.214853759,11.61290323
74,5.82,0.799,4.65018,870,1165,6.1,7.08,,0.051041298,3.285796907,20.77692302,0.223814662,7.284105131
75,6.39,0.744,4.75416,910,1165,6.1,8.36,,0.049888862,3.436868029,20.77692302,0.228819253,8.588709677
76,6.87,0.677,4.65099,960,1165,6.1,9.9,,0.046264233,3.625706931,20.77692302,0.223853647,10.14771049
77,5.85,0.802,4.6917,860,1170,6.1,7.08,,0.052095832,3.248029126,20.77692302,0.225813033,7.294264339
78,6.4,0.746,4.7744,910,1170,6.1,8.36,,0.050101255,3.436868029,20.77692302,0.229793411,8.579088472
79,6.84,0.677,4.63068,960,1170,6.1,9.9,,0.046062206,3.625706931,20.77692302,0.222876121,10.10339734
80,5.8,0.796,4.6168,860,1175,6.1,7.08,,0.051264155,3.248029126,20.77692302,0.222208072,7.286432161
81,6.37,0.74,4.7138,910,1175,6.1,8.36,,0.049465335,3.436868029,20.77692302,0.226876713,8.608108108
82,6.85,0.676,4.6306,960,1175,6.1,9.9,,0.04606141,3.625706931,20.77692302,0.22287227,10.13313609
83,6.03,0.778,4.69134,880,1170,6.1,7.55,,0.050907929,3.323564687,20.77692302,0.225795706,7.750642674
84,6.61,0.714,4.71954,943,1170,6.1,9,,0.047792437,3.561501704,20.77692302,0.227152981,9.257703081
85,10.11,1.675,16.93425,1420,1170,8.9,5.83,,0.113880357,3.675781067,64.53001195,0.262424405,6.035820896
86,10.38,1.623,16.84674,1450,1170,8.9,6.21,,0.110947895,3.753438414,64.53001195,0.261068292,6.395563771
87,10.63,1.595,16.95485,1465,1170,8.9,6.49,,0.110516602,3.792267087,64.53001195,0.262743637,6.664576803
88,10.99,1.503,16.51797,1500,1170,8.9,7.08,,0.105156618,3.882867325,64.53001195,0.255973453,7.312042582
89,10.16,1.685,17.1196,1430,1175,8.9,5.83,,0.114321726,3.70166685,64.53001195,0.265296712,6.029673591
90,10.46,1.628,17.02888,1460,1175,8.9,6.21,,0.111379285,3.779324196,64.53001195,0.263890855,6.425061425
91,10.69,1.598,17.08262,1470,1175,8.9,6.49,,0.110970704,3.805209978,64.53001195,0.264723645,6.689612015
92,11.05,1.515,16.74075,1511,1175,8.9,7.08,,0.105799019,3.911341685,64.53001195,0.2594258,7.293729373
93,10.16,1.682,17.08912,1440,1180,8.9,5.83,,0.113325698,3.727552632,64.53001195,0.264824374,6.040428062
94,10.47,1.63,17.0661,1465,1180,8.9,6.21,,0.111241762,3.792267087,64.53001195,0.264467641,6.423312883
95,10.65,1.593,16.96545,1490,1180,8.9,6.49,,0.108730231,3.856981542,64.53001195,0.262907901,6.685499058
96,10.08,1.67,16.8336,1430,1185,8.9,5.83,,0.112411867,3.70166685,64.53001195,0.260864666,6.035928144
97,10.38,1.618,16.79484,1440,1185,8.9,6.21,,0.111374194,3.727552632,64.53001195,0.260264015,6.415327565
98,9.54,1.778,16.96212,1380,1175,8.9,5.18,,0.117374091,3.572237939,64.53001195,0.262856297,5.365579303
99,9.83,1.754,17.24182,1400,1175,8.9,5.43,,0.11760513,3.624009503,64.53001195,0.267190715,5.604332953
100,9.53,1.776,16.92528,1380,1180,8.9,5.18,,0.117119166,3.572237939,64.53001195,0.2622854,5.365990991
101,9.76,1.74,16.9824,1400,1180,8.9,5.43,,0.115835646,3.624009503,64.53001195,0.26317057,5.609195402
102,11.62,2.16,25.0992,1650,1165,10,5.18,,0.145260365,3.801327111,91.53595683,0.274200444,5.37962963
103,11.83,2.11,24.9613,1660,1165,10,5.43,,0.143592021,3.824365457,91.53595683,0.272693932,5.606635071
104,12.18,2.02,24.6036,1700,1165,10,5.83,,0.138204102,3.916518841,91.53595683,0.268786178,6.02970297
105,11.02,2.29,25.2358,1600,1165,10,4.6,,0.150615022,3.68613538,91.53595683,0.275692754,4.812227074
106,11.35,2.19,24.8565,1640,1165,10,5,,0.14473292,3.778288765,91.53595683,0.271549027,5.182648402
107,10.84,2.33,25.2572,1580,1165,10,4.47,,0.15265088,3.640058688,91.53595683,0.275926542,4.652360515
108,10.54,2.37,24.9798,1550,1165,10,4.28,,0.153896398,3.57094365,91.53595683,0.272896039,4.447257384
109,10.66,2.4,25.584,1580,1170,10,4.28,,0.154626012,3.640058688,91.53595683,0.279496723,4.441666667
110,10.89,2.35,25.5915,1600,1170,10,4.47,,0.152737949,3.68613538,91.53595683,0.279578658,4.634042553
111,11.07,2.31,25.5717,1620,1170,10,4.61,,0.150735582,3.732212072,91.53595683,0.27936235,4.792207792
112,11.51,2.22,25.5522,1650,1170,10,5,,0.14788208,3.801327111,91.53595683,0.279149319,5.184684685
113,10.78,2.43,26.1954,1600,1175,10,4.28,,0.15634221,3.68613538,91.53595683,0.286176066,4.436213992
114,11.08,2.38,26.3704,1610,1175,10,4.47,,0.156409107,3.709173726,91.53595683,0.288087883,4.655462185
115,11.21,2.33,26.1193,1630,1175,10,4.61,,0.153018917,3.755250419,91.53595683,0.285344699,4.811158798
116,10.84,2.43,26.3412,1600,1180,10,4.28,,0.15721239,3.68613538,91.53595683,0.287768882,4.46090535
117,11.05,2.38,26.299,1615,1180,10,4.47,,0.155502689,3.720692899,91.53595683,0.287307861,4.642857143
118,11.26,2.35,26.461,1640,1180,10,4.61,,0.154075505,3.778288765,91.53595683,0.289077658,4.791489362
119,11.75,2.26,26.555,1680,1180,10,5,,0.150941347,3.870442149,91.53595683,0.290104577,5.199115044
120,11.89,2.22,26.3958,1710,1180,10,5.18,,0.147404219,3.939557188,91.53595683,0.288365369,5.355855856
121,10.81,2.43,26.2683,1610,1185,10,4.28,,0.155803528,3.709173726,91.53595683,0.286972474,4.448559671
122,11.04,2.38,26.2752,1630,1185,10,4.47,,0.153932252,3.755250419,91.53595683,0.287047854,4.638655462
123,11.27,2.35,26.4845,1650,1185,10,4.61,,0.153277719,3.801327111,91.53595683,0.289334388,4.795744681
124,11.72,2.26,26.4872,1690,1185,10,5,,0.149665101,3.893480495,91.53595683,0.289363884,5.185840708
125,11.85,2.21,26.1885,1700,1185,10,5.18,,0.147106851,3.916518841,91.53595683,0.286100686,5.36199095
126,12.29,2.75,33.7975,1800,1170,11.1,4.28,,0.17930123,3.73594802,125.1874122,0.269975227,4.469090909
127,12.56,2.7,33.912,1820,1170,11.1,4.47,,0.177931652,3.777458554,125.1874122,0.270889856,4.651851852
128,12.7,2.65,33.655,1840,1170,11.1,4.61,,0.174663826,3.818969088,125.1874122,0.268836934,4.79245283
129,13.17,2.53,33.3201,1880,1170,11.1,5,,0.169246479,3.901990155,125.1874122,0.266161744,5.205533597
130,12.41,2.8,34.748,1820,1175,11.1,4.28,,0.182318031,3.777458554,125.1874122,0.277567843,4.432142857
131,12.61,2.72,34.2992,1850,1175,11.1,4.47,,0.177044915,3.839724354,125.1874122,0.273982818,4.636029412
132,12.89,2.69,34.6741,1860,1175,11.1,4.61,,0.178017808,3.860479621,125.1874122,0.276977528,4.791821561
133,13.33,2.57,34.2581,1900,1175,11.1,5,,0.172179272,3.943500688,125.1874122,0.273654511,5.186770428
134,12.55,2.81,35.2655,1830,1180,11.1,4.28,,0.184022172,3.798213821,125.1874122,0.281701646,4.466192171
135,12.75,2.76,35.19,1856,1180,11.1,4.47,,0.181055821,3.852177514,125.1874122,0.28109855,4.619565217
136,12.97,2.71,35.1487,1875,1180,11.1,4.61,,0.179010782,3.891612521,125.1874122,0.280768644,4.78597786
137,13.38,2.58,34.5204,1930,1180,11.1,5,,0.170800724,4.005766489,125.1874122,0.275749769,5.186046512
138,12.53,2.82,35.3346,1840,1185,11.1,4.28,,0.183380669,3.818969088,125.1874122,0.282253618,4.443262411
139,12.78,2.75,35.145,1860,1185,11.1,4.47,,0.180435422,3.860479621,125.1874122,0.280739089,4.647272727
140,13.02,2.71,35.2842,1890,1185,11.1,4.61,,0.178274681,3.922745422,125.1874122,0.281851022,4.804428044
141,13.5,2.6,35.1,1930,1185,11.1,5,,0.17366848,4.005766489,125.1874122,0.280379628,5.192307692
142,12.49,2.81,35.0969,1840,1190,11.1,4.28,,0.182147046,3.818969088,125.1874122,0.280354865,4.444839858
143,12.79,2.76,35.3004,1860,1190,11.1,4.47,,0.18123325,3.860479621,125.1874122,0.281980428,4.634057971
144,13,2.71,35.23,1870,1190,11.1,4.61,,0.179904585,3.881234888,125.1874122,0.281418071,4.79704797
145,13.43,2.59,34.7837,1930,1190,11.1,5,,0.172103485,4.005766489,125.1874122,0.277853016,5.185328185
